Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,Duel%D3,DuelsD3,SeqShotStart,SeqGoalStart,RcvryA3,RcvryM3,Clrnce,Tckl,Shoot%,CrsPs%,CrossOpen,TchsA3,ThrghBalls,Ps%Att3rd,Pass%OpHf,LongBall%,LgBallCp,ShirtNumber,PrefFoot,xG,Offsides,ErrShot,FoulCom,Position,BgChncGoal,Cleared,RedsResc,Red,Yellow,Int,PsCmpInBox,GoalOBx,ShtOBox,OFF,FoulSuf,PsLostD3,PsLostA3,PsLostM3,PossLost,KeyPass,TouchOpBox,PsCmpSoP,PsSoP,PsOpHfScs,DuelLs,AerialLoss,AerialWon,SucflDuels,DuelsOff,Aerials,Duels,DuelsDef,ChancesCreatedPer90,CrossCmp,Crosses,ShtAf1v1,xAAf1v1,Sc1v1InBox,1v1InBox,Success1v1,1v1%,1v1,PsDist,PsCmpA3,PsRecA3,PsOppHalf,PsInA3rd,PsIntoOpHf,ProgPass,FwdPass,PsCmp,PsRec,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
1,8nbsd8nw6diupw0tsjx146x1x,218380,Sambinha,Sambinha,Right Centre Back,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,221990,Mamadu Samba,Candé,Right Centre Back,29,2610,31,60.0%,3.79,0.38,0.00,0.00,1.83,4.93,0.97,22.2%,0.0%,0.07,1.52,0.00,45.5%,80.6%,17.8%,4.00,3,,0.04,0.00,0.07,0.79,Right Centre Back,0.03,0.00,0.00,0.00,0.24,2.21,0.14,0.00,0.00,0.21,0.86,5.10,0.38,2.90,8.38,0.28,0.86,0.38,0.55,8.10,2.79,1.31,2.17,4.10,1.41,3.48,6.90,5.48,0.31,0.00,0.07,0.00,0.00,0.03,0.03,0.10,33.3%,0.31,22.2,0.48,0.28,12.24,0.62,8.52,2.79,13.83,38.90,31.62,59.03,46.17,84.2%,77.8%,0.31,0.03,0.03,0.07,0.04,0.31,0.38,0.10,27.3%,44.2%,59.5%,62.4%,5.48
1,5rf0jhxtd07bnndbjh0ovf4r9,,G. Amos,Gad Amos,Goalkeeper,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74461,Gad,Amos,Goalkeeper,29,2610,35,90.0%,0.34,0.41,0.00,0.00,0.00,0.21,0.00,-,-,0.00,0.00,0.00,20.7%,-,61.1%,7.86,1,right,0.00,0.00,0.03,0.00,Goalkeeper,0.00,0.31,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.07,10.59,0.00,0.03,10.62,0.00,0.00,0.07,0.10,4.38,0.03,0.00,0.24,0.31,0.00,0.24,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.03,36.7,0.00,0.00,11.97,0.00,11.97,0.00,18.48,19.31,14.17,38.31,29.59,65.3%,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,90.0%,100.0%,1.41
3,c7wta7tm5rfielv4211c253v9,113632,E. Zubas,Emilijus Zubas,Goalkeeper,245,Hapoel Tel Aviv,Hapoel TA,HTA,dv6fn97f0kx4x988y86gkmwb8,Hapoel Tel Aviv,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,62708,Emilijus,Zubas,Goalkeeper,28,2520,33,81.8%,0.39,0.25,0.07,0.00,0.00,0.61,0.00,-,-,0.00,0.00,0.00,23.4%,-,53.1%,5.71,1,right,0.00,0.00,0.00,0.00,Goalkeeper,0.00,0.25,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.04,8.57,0.00,0.11,8.68,0.00,0.00,0.11,0.11,2.36,0.07,0.04,0.32,0.32,0.00,0.36,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,33.1,0.00,0.00,9.00,0.00,9.00,0.04,15.14,18.04,13.75,37.93,26.57,67.9%,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.0%,81.8%,90.0%,1.14
4,my77egltmn05j466bz9larfu,745481,T. Yosefi,Tomer Yosefi,Centre Attacking Midfielder,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,475103,Tomer,Yosefi,Centre Attacking Midfielder,29,2459,25,61.4%,2.09,1.79,0.18,0.77,2.31,0.70,1.65,19.0%,26.4%,2.75,24.41,0.51,65.9%,74.4%,11.4%,2.49,10,,0.30,0.40,0.00,1.61,Centre Attacking Midfielder,0.29,0.00,0.00,0.00,0.11,0.33,2.60,0.07,1.28,1.02,2.64,1.46,9.22,8.16,18.85,1.72,2.67,0.59,0.73,15.45,6.62,1.24,0.88,7.21,9.22,2.12,13.83,4.61,1.87,1.68,6.37,0.15,0.02,0.15,0.29,2.05,50.9%,4.03,19.0,7.43,10.61,21.59,9.41,3.15,4.10,9.44,28.40,34.59,63.36,36.01,78.9%,79.9%,1.87,0.15,0.28,0.40,0.30,2.12,2.78,1.10,39.5%,37.0%,52.1%,41.4%,4.36
5,47xqx4s8aj2kirxmpzrw3macp,491101,S. Keouf,Shareef Keouf,Goalkeeper,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,449810,Shareef,Keouf,Goalkeeper,27,2430,22,66.7%,0.11,0.33,0.07,0.00,0.04,0.41,0.00,-,-,0.00,0.00,0.00,23.6%,-,49.7%,4.85,40,,0.00,0.00,0.04,0.07,Goalkeeper,0.00,0.22,0.00,0.00,0.07,0.07,0.04,0.00,0.00,0.00,0.04,7.48,0.00,0.00,7.48,0.04,0.00,0.04,0.07,2.15,0.04,0.00,0.07,0.07,0.00,0.07,0.11,0.11,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0%,0.04,32.4,0.00,0.00,7.33,0.00,7.33,0.00,14.78,16.67,14.52,31.93,23.78,70.1%,-,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,66.7%,100.0%,1.63
6,3y7h2e79gvzrqor9gg854dl91,263520,Miguel Silva,Miguel Silva,Goalkeeper,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,219469,João Miguel,Macedo Silva,Goalkeeper,27,2412,29,75.0%,0.45,0.52,0.11,0.00,0.00,0.71,0.04,-,-,0.00,0.00,0.00,20.8%,-,46.6%,6.79,55,right,0.00,0.00,0.07,0.04,Goalkeeper,0.00,0.49,0.00,0.04,0.07,0.00,0.07,0.00,0.00,0.00,0.04,9.33,0.00,0.00,9.33,0.04,0.00,0.11,0.11,2.31,0.11,0.00,0.26,0.34,0.00,0.26,0.45,0.45,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,32.9,0.00,0.00,8.99,0.00,8.99,0.00,19.14,24.14,20.71,44.07,33.21,72.7%,-,0.07,0.04,0.00,0.00,0.00,0.00,0.00,0.00,-,0.0%,75.0%,100.0%,1.72
7,6vou05kb6m6d3ep46kgmhdwx5,569306,N. Ljubisavljevic,Nemanja Ljubisavljevic,Left Centre Back,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,430624,Nemanja,Ljubisavljevic,Left Centre Back,27,2392,27,65.0%,3.88,0.30,0.00,0.08,1.51,4.21,1.43,0.0%,0.0%,0.04,1.43,0.00,38.0%,74.8%,20.3%,4.55,26,both,0.05,0.00,0.00,1.09,Left Centre Back,0.00,0.00,0.00,0.00,0.45,1.66,0.41,0.00,0.23,0.26,0.75,6.36,0.49,4.85,11.70,0.08,0.75,0.38,0.56,9.93,3.01,0.83,1.92,4.18,0.94,2.75,7.19,6.25,0.11,0.00,0.04,0.00,0.00,0.00,0.00,0.08,100.0%,0.08,23.4,0.23,0.41,17.08,0.56,12.15,4.33,20.92,44.74,39.36,68.03,55.42,80.7%,40.0%,0.11,0.04,0.02,0.00,0.05,0.38,0.49,0.11,23.1%,46.7%,58.1%,69.9%,4.36
8,4bzxaacl40jtslfwvxqt21nth,99307,A. Harush,Ariel Harush,Goalkeeper,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74317,Ariel,Harush,Goalkeeper,27,2385,35,88.9%,0.34,0.34,0.00,0.00,0.04,0.19,0.00,-,-,0.00,0.00,0.00,19.5%,-,59.9%,5.32,1,right,0.00,0.00,0.00,0.00,Goalkeeper,0.00,0.15,0.00,0.00,0.08,0.04,0.00,0.00,0.00,0.00,0.08,10.26,0.00,0.23,10.49,0.04,0.00,0.11,0.23,3.55,0.04,0.00,0.23,0.30,0.00,0.23,0.34,0.34,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,100.0%,0.04,40.0,0.00,0.00,12.19,0.00,12.19,0.00,16.87,15.43,11.06,33.43,25.51,60.5%,-,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.0%,88.9%,100.0%,1.32
9,7rv0xhaoqzj0nlyhi7aqhii1h,,I. Levy,Ido Levy,Left Centre Back,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,104875,Ido,Levy,Left Centre Back,27,2380,33,68.8%,3.52,0.26,0.04,0.08,1.44,5.03,1.40,0.0%,0.0%,0.23,1.78,0.00,53.0%,76.8%,21.2%,3.97,5,,0.02,0.04,0.00,0.64,Left Centre Back,0.00,0.00,0.00,0.00,0.23,2.19,0.23,0.00,0.00,0.19,0.42,4.61,0.72,4.76,10.10,0.30,0.64,0.64,0.72,10.97,2.31,1.32,2.76,4.61,1.51,4.08,6.92,5.41,0.30,0.00,0.23,0.00,0.00,0.00,0.00,0.04,100.0%,0.04,22.3,0.42,0.45,16.87,0.72,11.00,4.69,18.91,32.41,27.08,54.98,41.26,78.6%,57.9%,0.30,0.00,0.01,0.00,0.02,0.26,0.26,0.08,28.6%,46.7%,66.7%,67.6%,3.89
10,8twaof4z06di37p9907vqnxt5,329898,Y. Shua,Yarden Shua,Left Attacking Midfielder,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,235675,Yarden,Shua,Left Attacking Midfielder,27,2316,24,56.3%,1.24,2.06,0.16,0.93,1.63,0.97,0.62,26.3%,29.8%,2.60,29.92,1.09,55.8%,63.1%,14.8%,1.79,7,,0.30,0.12,0.00,0.89,Left Attacking Midfielder,0.27,0.00,0.00,0.00,0.23,0.39,4.04,0.04,0.62,0.74,1.52,1.28,13.45,9.09,23.82,2.49,3.81,0.19,0.31,15.54,5.28,0.31,0.51,4.24,7.19,0.82,9.52,2.33,2.76,1.98,6.65,0.00,0.04,0.23,0.47,1.59,42.3%,3.77,20.4,9.56,14.34,25.65,14.77,3.34,5.95,13.56,20.52,31.98,56.93,31.98,64.2%,65.3%,2.76,0.27,0.35,0.39,0.30,1.48,2.06,0.74,35.8%,29.4%,44.5%,61.9%,4.04
